index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
603,recovery,67,8,Topic 2,positive,recoveri,338,42.78688524590161,248.05325385408344,229.59438854728492,9,97
225,abundance,221,10,Topic 1,positive,abund,336,152.5423728813564,-298.15029721900936,154.92708048697094,9,97
908,affinity,104,8,Topic 1,positive,affin,338,162.71186440678036,-322.7299567770991,100.4458809441768,9,97
575,stability,71,6,Topic 1,positive,stabil,340,169.83050847457713,-334.65851885659566,60.030623490928335,9,98
1576,work,36,6,Topic 5,positive,work,340,231.53846153846183,-211.476309925158,-266.22879322199265,9,98
122,protection,91,9,Topic 4,positive,protect,337,269.58904109589014,-2.4171407454237657,-336.9913313879406,9,97
